epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,449.99,0.45491,2.15016,1.1434,0.69758,0.36016,0.42554,0.30387,0.69791,2.04143,0.76196,0.000333073,0.000333073,0.000333073
2,938.064,0.39801,1.57311,1.09593,0.74343,0.45214,0.51517,0.40229,0.67582,1.52666,0.75188,0.000644415,0.000644415,0.000644415
3,1424.62,0.37633,1.45602,1.08598,0.45575,0.5439,0.5337,0.43118,0.57758,1.38939,0.73618,0.000933757,0.000933757,0.000933757
4,1909.33,0.35978,1.36838,1.07901,0.46504,0.5919,0.53745,0.41906,0.65346,1.39574,0.71215,0.000901,0.000901,0.000901
5,2393.87,0.35949,1.33474,1.08211,0.42477,0.60586,0.55442,0.43867,0.64245,1.24529,0.73418,0.000868,0.000868,0.000868
6,2878.54,0.32872,1.2753,1.06833,0.54862,0.63908,0.60372,0.47967,0.62165,1.18264,0.71578,0.000835,0.000835,0.000835
7,3363.46,0.31791,1.23528,1.05639,0.37159,0.61429,0.57215,0.47013,0.63504,1.23538,0.71471,0.000802,0.000802,0.000802
8,3846.42,0.31333,1.19959,1.06111,0.68056,0.55165,0.59,0.48554,0.59721,1.22001,0.66525,0.000769,0.000769,0.000769
9,4330.07,0.30643,1.17274,1.05819,0.5709,0.6302,0.65161,0.5374,0.58638,1.13277,0.6886,0.000736,0.000736,0.000736
10,4813.9,0.2968,1.14014,1.05277,0.60025,0.62063,0.68894,0.58696,0.54078,1.09047,0.62785,0.000703,0.000703,0.000703
11,5297.71,0.28411,1.11816,1.04518,0.73381,0.63847,0.72095,0.60935,0.5518,1.03587,0.64936,0.00067,0.00067,0.00067
12,5782.09,0.27827,1.09425,1.04132,0.69199,0.60295,0.6985,0.58454,0.55169,1.05052,0.64347,0.000637,0.000637,0.000637
13,6266.89,0.2753,1.05798,1.04367,0.73226,0.60438,0.68808,0.56788,0.55331,1.05119,0.64277,0.000604,0.000604,0.000604
14,6751.78,0.26325,1.04307,1.03637,0.71271,0.69549,0.74451,0.61709,0.58016,1.0397,0.65447,0.000571,0.000571,0.000571
15,7236.98,0.26328,1.00611,1.03147,0.75002,0.71025,0.75063,0.62399,0.5893,0.94563,0.64056,0.000538,0.000538,0.000538
16,7723.41,0.26793,0.98321,1.03601,0.7584,0.70985,0.76805,0.64045,0.56791,0.92694,0.64595,0.000505,0.000505,0.000505
17,8208.1,0.24913,0.98237,1.02388,0.72542,0.70823,0.75801,0.64089,0.47503,0.97248,0.54195,0.000472,0.000472,0.000472
18,8693.01,0.24976,0.95214,1.02644,0.74062,0.67582,0.76655,0.6519,0.54406,1.00303,0.61298,0.000439,0.000439,0.000439
19,9178.59,0.24515,0.92352,1.02238,0.67115,0.72782,0.7418,0.63721,0.49908,1.01585,0.57826,0.000406,0.000406,0.000406
20,9664.12,0.23897,0.91254,1.02281,0.64118,0.69079,0.72299,0.62228,0.51553,1.05969,0.55241,0.000373,0.000373,0.000373
21,10143.3,0.30471,0.72163,1.12263,0.70858,0.68517,0.74538,0.65737,0.49433,1.04583,0.55629,0.00034,0.00034,0.00034
22,10619.3,0.27804,0.65243,1.10135,0.73783,0.7128,0.78143,0.68393,0.47737,0.88535,0.54685,0.000307,0.000307,0.000307
23,11094.3,0.27008,0.59975,1.09447,0.66374,0.76718,0.78085,0.68933,0.49937,1.0415,0.58326,0.000274,0.000274,0.000274
24,11569.9,0.26034,0.55859,1.08408,0.68826,0.76504,0.78925,0.70116,0.48479,1.02127,0.5536,0.000241,0.000241,0.000241
25,12045,0.25718,0.50938,1.08404,0.71474,0.75203,0.80043,0.70378,0.49146,1.02569,0.55155,0.000208,0.000208,0.000208
26,12520.6,0.24241,0.47021,1.06498,0.69566,0.74739,0.79351,0.68613,0.50227,1.13005,0.55964,0.000175,0.000175,0.000175
27,12995.9,0.23239,0.43565,1.057,0.71415,0.78154,0.79943,0.69903,0.51827,1.08908,0.55524,0.000142,0.000142,0.000142
28,13472.4,0.21893,0.41962,1.0526,0.72445,0.73373,0.78972,0.68691,0.51164,1.07682,0.57734,0.000109,0.000109,0.000109
29,13948.1,0.21598,0.37672,1.05086,0.71575,0.77347,0.8171,0.7174,0.48696,1.04591,0.54127,7.6e-05,7.6e-05,7.6e-05
30,14424,0.20966,0.36068,1.04364,0.72659,0.78521,0.82826,0.72833,0.49231,1.04349,0.54064,4.3e-05,4.3e-05,4.3e-05
